dong_id,p_i,c_i,K_i,x_obs_i,B_i
11020720,1809.400562369734,2500.0,0,0.0,0.0
11020730,1769.9161251319956,3333.333333333333,0,0.0,0.6666666666666666
11030510,2339.2275,2708.333333333333,3,1.6952283738557508,0.16666666666666666
11030520,1783.3169999999998,2500.0,1,0.15260252025974033,0.0
11030530,1780.7885454545456,2687.5,1,0.6780896581871297,0.15
11030570,1798.2323571428572,2976.190476190476,1,0.7121450945454547,0.38095238095238093
11030580,1255.7759999999998,3125.0,5,3.27093713458704,0.5
11030590,1443.2730000000001,2692.3076923076924,2,1.2542809333342504,0.15384615384615385
11030630,1818.5145000000002,2968.75,1,0.10173501350649353,0.375
11030640,1842.4692857142857,3125.0,1,0.35607254727272736,0.5
11030650,1769.9161251319956,3125.0,0,0.0,0.5
11030660,1809.400562369734,2500.0,0,0.0,0.0
11030690,2181.12,2656.25,1,0.5811665501407522,0.125
11030700,1809.400562369734,2500.0,2,1.01178557655394,0.0
11030710,1828.1100000000001,2875.0,3,2.19271512693526,0.3
11030720,1278.31875,3000.0,1,0.20347002701298705,0.4
11030730,1822.2695454545453,2708.333333333333,2,1.119085148571429,0.16666666666666666
11030740,2325.381,3125.0,4,3.168931504253264,0.5
11040520,1276.9818,3214.2857142857138,1,0.25433753376623386,0.5714285714285714
11040540,1922.5377272727271,2954.5454545454545,3,2.3459096215046804,0.36363636363636365
11040550,1839.092,2734.375,3,2.0595716479122976,0.1875
11040560,1959.9784285714284,2897.727272727273,1,0.35607254727272736,0.3181818181818182
11040570,1656.3480000000002,3125.0,1,0.05086750675324676,0.5
11040580,2159.9115,2812.5,1,0.13757482956971215,0.25
11040590,1809.400562369734,2500.0,0,0.0,0.0
11040620,1809.400562369734,2500.0,0,0.0,0.0
11040650,1670.3022352941175,2661.290322580645,2,0.864747614805195,0.12903225806451613
11040660,1694.5665,2635.135135135135,2,0.8138801080519482,0.10810810810810811
11040670,1685.1074999999998,2812.5,1,0.20347002701298705,0.25
11040680,1781.8820454545455,2700.471698113208,3,2.238170297142858,0.16037735849056603
11040690,1807.1217272727272,2954.5454545454545,2,1.317582591383101,0.36363636363636365
11040700,1987.1275,2593.75,3,2.098329051644655,0.075
11040710,1540.971,2674.4186046511627,2,0.9156151215584418,0.13953488372093023
11040720,1809.400562369734,2500.0,0,0.0,0.0
11040730,2926.896,2500.0,1,0.42774948860684786,0.0
11050530,1736.8712903225808,2789.6341463414637,6,4.10773510519947,0.23170731707317074
11050540,1784.4259714285715,2555.1470588235293,8,5.714471776533862,0.04411764705882353
11050550,2104.1565,2968.75,1,0.10173501350649353,0.375
11050560,1809.400562369734,2500.0,0,0.0,0.0
11050570,1792.689,3125.0,1,0.20347002701298705,0.5
11050580,1769.9161251319956,3125.0,0,0.0,0.5
11050590,1953.9794516129034,2562.5,5,3.840314939189301,0.05
11050600,1496.0526,3011.3636363636365,1,0.7630126012987014,0.4090909090909091
11050610,1983.4716,2586.206896551724,1,0.7630126012987014,0.06896551724137931
11050620,2057.3890588235295,2575.7575757575755,2,0.864747614805195,0.06060606060606061
11050630,2052.1290000000004,3289.4736842105267,2,1.382183902120932,0.631578947368421
11050640,1908.2730882352942,2737.0689655172414,3,1.72949522961039,0.1896551724137931
11050650,1653.7168235294116,2944.078947368421,4,2.5942428444155854,0.35526315789473684
11050660,1834.803,2791.26213592233,3,1.9838327633766242,0.23300970873786409
11050670,1468.3105714285714,2500.0,2,1.0682176418181821,0.0
11060710,2799.4605,2708.333333333333,4,3.1729315592315324,0.16666666666666666
11060720,1684.779,2812.5,1,0.05086750675324676,0.25
11060730,1920.026,2670.4545454545455,1,0.4578075607792209,0.13636363636363635
11060800,1597.9060909090908,2556.818181818182,2,1.5740850597675946,0.045454545454545456
11060810,1816.2935892857145,2676.7676767676767,4,2.848580378181819,0.1414141414141414
11060820,1631.484375,3020.833333333333,2,1.0741120145874279,0.4166666666666667
11060830,1460.7714545454546,2600.0,1,0.5595425742857145,0.08
11060840,2009.1840000000002,2569.4444444444443,1,0.4578075607792209,0.05555555555555555
11060860,2076.970363636364,2763.1578947368416,1,0.5595425742857145,0.21052631578947367
11060870,1608.9955384615382,2659.574468085106,2,1.3225551755844158,0.1276595744680851
11060880,1898.52675,2672.413793103448,1,0.6104100810389613,0.13793103448275862
11060890,1546.7423999999999,2692.3076923076924,1,0.25433753376623386,0.15384615384615385
11060900,1584.9816,2968.75,1,0.25433753376623386,0.375
11060910,1829.7409411764704,2777.777777777778,2,0.864747614805195,0.2222222222222222
11070520,1743.108,2500.0,1,0.25433753376623386,0.0
11070540,1703.985,2500.0,1,0.05086750675324676,0.0
11070550,1945.3534285714288,2934.782608695652,1,0.35607254727272736,0.34782608695652173
11070570,1659.82425,3500.0,1,0.20347002701298705,0.8
11070590,1916.3660000000002,3125.0,1,0.4578075607792209,0.5
11070600,1801.1826521739129,2786.885245901639,2,1.1699526553246755,0.22950819672131148
11070610,1659.494625,2687.5,1,0.4069400540259741,0.15
11070620,1495.946727272727,2723.2142857142853,1,0.5595425742857145,0.17857142857142858
11070640,2033.5710000000001,2773.4375,1,0.6104100810389613,0.21875
11070650,1861.3933636363636,2941.1764705882356,1,0.5595425742857145,0.35294117647058826
11070680,1497.3629999999998,2708.333333333333,1,0.10173501350649353,0.16666666666666666
11070690,1726.3093333333334,3059.210526315789,2,1.3734226823376627,0.4473684210526316
11070700,1944.3949999999998,3625.0,1,0.4578075607792209,0.9
11070710,1738.1721428571432,2700.0,1,0.7121450945454547,0.16
11070720,1768.277625,2723.2142857142853,2,0.8138801080519482,0.17857142857142858
11070730,1492.7565,3156.25,2,1.5260252025974028,0.525
11080580,1360.005,2812.5,1,0.05086750675324676,0.25
11080590,1809.400562369734,2500.0,0,0.0,0.0
11080600,1788.6950769230768,2566.9642857142853,4,2.814042905599897,0.05357142857142857
11080610,2476.581,3125.0,2,1.1150343529380449,0.5
11080620,2139.0,2812.5,1,0.05086750675324676,0.25
11080630,1769.9161251319956,3125.0,0,0.0,0.5
11080640,2515.074,3125.0,1,0.05086750675324676,0.5
11080650,1815.0,3125.0,1,0.05086750675324676,0.5
11080660,1488.4560000000001,2500.0,1,0.15260252025974033,0.0
11080680,1617.072,3125.0,1,0.20347002701298705,0.5
11080710,1803.9005454545454,2500.0,1,0.5595425742857145,0.0
11080720,1766.579181818182,2552.083333333333,1,0.5595425742857145,0.041666666666666664
11080760,2223.4199999999996,2812.5,1,0.05086750675324676,0.25
11080770,1809.400562369734,2500.0,0,0.0,0.0
11080780,1744.6793999999998,2692.3076923076924,1,0.25433753376623386,0.15384615384615385
11080810,2203.7250000000004,2656.25,1,0.6571168540727403,0.125
11080820,1637.2551428571428,2647.0588235294117,2,1.4229963023854653,0.11764705882352941
11080830,1896.6030000000003,3055.5555555555557,1,0.7220395222929691,0.4444444444444444
11080840,1697.4903749999999,2569.4444444444443,4,2.600625019391964,0.05555555555555555
11080850,1670.8758,2656.25,5,3.3502336309643317,0.125
11090600,1872.6314999999997,2666.6666666666665,18,0.4069400540259741,0.13333333333333333
11090610,1414.512,2708.333333333333,7,0.15260252025974033,0.16666666666666666
11090620,1640.9309999999998,3076.923076923077,7,0.15260252025974033,0.46153846153846156
11090630,1769.9161251319956,3437.5,0,0.0,0.75
11090640,1774.20075,3375.0,18,0.4069400540259741,0.7
11090650,1908.595,2562.5,20,0.4578075607792209,0.05
11090690,1809.400562369734,2500.0,0,0.0,0.0
11090700,1956.4395,2857.142857142857,221,5.171189275819238,0.2857142857142857
11090710,1687.0320000000002,2708.333333333333,7,0.15260252025974033,0.16666666666666666
11090720,1641.9089999999999,2656.25,7,0.15260252025974033,0.125
11090730,1725.0,3125.0,3,0.05086750675324676,0.5
11090740,2069.772,2708.333333333333,92,2.137576948376462,0.16666666666666666
