scenario_day,dong_id,H_is,departures_is,avg_distance_km_i,arrivals_is
2025-10-01,11140750,3.0,3.0,1.2199266666666666,3.0
2025-10-01,11140760,9.0,9.0,1.4157933333333335,10.0
2025-10-01,11140770,9.0,9.0,1.1823899999999998,8.0
2025-10-01,11140780,9.0,9.0,0.9243600000000001,15.0
2025-10-01,11150510,81.0,81.0,1.3607840740740742,118.0
2025-10-01,11150520,10.0,10.0,1.0830410000000001,11.0
2025-10-01,11150530,5.0,5.0,1.20983,3.0
2025-10-01,11150540,6.0,6.0,1.1016433333333333,8.0
2025-10-01,11150570,5.0,5.0,1.3403880000000001,7.0
2025-10-01,11150580,5.0,5.0,1.798302,0.0
2025-10-01,11150590,7.0,7.0,1.663427142857143,6.0
2025-10-01,11150600,4.0,4.0,1.09586,5.0
2025-10-01,11150610,6.0,6.0,1.1681333333333332,6.0
2025-10-01,11150620,2.0,2.0,1.224885,3.0
2025-10-01,11150630,3.0,3.0,1.6424866666666667,0.0
2025-10-01,11150640,25.0,25.0,1.6042364,22.0
2025-10-01,11150650,28.0,28.0,1.1206410714285713,27.0
2025-10-01,11150660,6.0,6.0,2.00737,7.0
2025-10-01,11150690,94.0,94.0,1.0845391489361702,77.0
2025-10-01,11150700,38.0,38.0,1.29813,28.0
2025-10-01,11150710,49.0,49.0,1.2595148979591837,38.0
2025-10-01,11150720,26.0,26.0,1.5060484615384615,27.0
2025-10-01,11160510,14.0,14.0,1.7023407142857143,2.0
2025-10-01,11160520,44.0,44.0,1.450649318181818,55.0
2025-10-01,11160530,6.0,6.0,1.2972616666666668,8.0
2025-10-01,11160540,60.0,60.0,1.1995023333333334,51.0
2025-10-01,11160550,4.0,4.0,1.9552,7.0
2025-10-01,11160570,4.0,4.0,1.6496549999999999,2.0
2025-10-01,11160580,2.0,2.0,0.892815,5.0
2025-10-01,11160590,9.0,9.0,1.2523511111111112,4.0
2025-10-01,11160610,53.0,53.0,1.4259252830188678,36.0
2025-10-01,11160630,5.0,5.0,2.082282,1.0
2025-10-01,11160650,19.0,19.0,1.3825457894736843,20.0
2025-10-01,11160660,15.0,15.0,1.1517893333333333,18.0
2025-10-01,11160670,106.0,106.0,1.2347164150943397,108.0
2025-10-01,11160690,107.0,107.0,1.2007182242990655,83.0
2025-10-01,11160700,70.0,70.0,1.2249944285714287,55.0
2025-10-01,11160710,10.0,10.0,1.475346,14.0
2025-10-01,11160730,11.0,11.0,1.5216509090909092,12.0
2025-10-01,11160740,38.0,38.0,1.2919618421052632,31.0
2025-10-01,11160751,163.0,163.0,1.3067466871165643,220.0
2025-10-01,11160761,10.0,10.0,1.420059,12.0
2025-10-01,11170510,59.0,59.0,1.0574494915254238,70.0
2025-10-01,11170520,18.0,18.0,1.4670483333333333,18.0
2025-10-01,11170540,21.0,21.0,1.1161699999999999,41.0
2025-10-01,11170550,22.0,22.0,1.0776272727272727,15.0
2025-10-01,11170560,56.0,56.0,1.21163875,39.0
2025-10-01,11170610,19.0,19.0,1.3516605263157895,21.0
2025-10-01,11170620,5.0,5.0,1.299732,8.0
2025-10-01,11170640,4.0,4.0,1.4535575,0.0
2025-10-01,11170650,5.0,5.0,1.7375399999999999,2.0
2025-10-01,11170670,3.0,3.0,1.6826766666666666,5.0
2025-10-01,11170690,3.0,3.0,1.2374233333333333,3.0
2025-10-01,11170700,8.0,8.0,1.20893625,6.0
2025-10-01,11170710,31.0,31.0,1.14353,24.0
2025-10-01,11170720,9.0,9.0,1.6388455555555557,10.0
2025-10-01,11170730,7.0,7.0,1.7822885714285712,10.0
2025-10-01,11170740,6.0,6.0,1.9469649999999998,5.0
2025-10-01,11180510,46.0,46.0,1.261736304347826,69.0
2025-10-01,11180520,57.0,57.0,1.3437333333333332,37.0
2025-10-01,11180530,2.0,2.0,1.710435,0.0
2025-10-01,11180540,9.0,9.0,1.4440155555555556,1.0
2025-10-01,11180550,3.0,3.0,1.8746833333333333,1.0
2025-10-01,11180570,6.0,6.0,1.2681583333333333,7.0
2025-10-01,11180580,1.0,1.0,1.5312999999999999,0.0
2025-10-01,11180590,1.0,1.0,1.78177,3.0
2025-10-01,11180600,1.0,1.0,1.17779,0.0
2025-10-01,11190540,34.0,34.0,1.6464641176470587,68.0
2025-10-01,11190550,55.0,55.0,1.1612487272727272,40.0
2025-10-01,11190560,58.0,58.0,1.0339156896551724,48.0
2025-10-01,11190610,46.0,46.0,1.1476169565217391,54.0
2025-10-01,11190620,24.0,24.0,1.2974683333333334,26.0
2025-10-01,11190630,8.0,8.0,1.5623825,3.0
2025-10-01,11190650,18.0,18.0,1.1634433333333334,9.0
2025-10-01,11190660,2.0,2.0,0.872765,2.0
2025-10-01,11190670,5.0,5.0,1.3859400000000002,3.0
2025-10-01,11190680,10.0,10.0,1.259341,12.0
2025-10-01,11190690,18.0,18.0,1.3010333333333335,9.0
2025-10-01,11190700,10.0,10.0,1.251072,7.0
2025-10-01,11190710,2.0,2.0,1.693375,2.0
2025-10-01,11190720,6.0,6.0,1.4187066666666668,17.0
2025-10-01,11190730,19.0,19.0,1.3930215789473686,16.0
2025-10-01,11190740,78.0,78.0,1.3631566666666668,93.0
2025-10-01,11190750,20.0,20.0,1.1259675,15.0
2025-10-01,11190760,78.0,78.0,1.1709483333333333,93.0
2025-10-01,11200520,3.0,3.0,1.23461,7.0
2025-10-01,11200540,6.0,6.0,1.4391049999999999,2.0
2025-10-01,11200630,5.0,5.0,0.9711860000000001,3.0
2025-10-01,11200650,3.0,3.0,0.9655466666666666,7.0
2025-10-01,11200670,2.0,2.0,1.806465,0.0
2025-10-01,11200680,8.0,8.0,1.2138775,14.0
2025-10-01,11200690,6.0,6.0,1.4115433333333334,8.0
2025-10-01,11200700,18.0,18.0,1.4069250000000002,21.0
2025-10-01,11200710,3.0,3.0,1.57986,2.0
2025-10-01,11200720,8.0,8.0,1.62901875,2.0
2025-10-01,11200730,13.0,13.0,0.9677607692307693,12.0
2025-10-01,11210520,8.0,8.0,1.19050625,4.0
2025-10-01,11210580,5.0,5.0,1.6929000000000003,5.0
2025-10-01,11210610,6.0,6.0,1.17616,9.0
2025-10-01,11210620,2.0,2.0,1.03362,1.0
2025-10-01,11210630,4.0,4.0,1.4638575,4.0
2025-10-01,11210640,1.0,1.0,2.48238,4.0
2025-10-01,11210680,13.0,13.0,1.275196923076923,10.0
2025-10-01,11210690,16.0,16.0,1.4444525,15.0
2025-10-01,11210720,5.0,5.0,1.089992,5.0
2025-10-01,11210730,4.0,4.0,2.1856524999999998,1.0
2025-10-01,11210780,15.0,15.0,1.2283466666666667,13.0
2025-10-01,11210800,10.0,10.0,1.054806,5.0
2025-10-01,11210810,3.0,3.0,2.1190933333333333,2.0
