hour,hour_label,origin,destination,demand,served,unmet,rate,base_rate,regression_rate,empirical_rate,normal_z,normal_quantile,origin_latitude,origin_longitude,dest_latitude,dest_longitude
4,04:00-05:00,grid_8125_22776,grid_8125_22776,1,1,0,0.05003712779174141,0.03660963951616034,0.10459897004617241,0.0,0.22825578679216052,0.5902763028459599,36.49554792857143,127.25605678571428,36.495986464285714,127.25578171428572
4,04:00-05:00,grid_8133_22776,grid_8132_22778,1,1,0,0.050660940546487614,0.0370660518060882,0.105903005160252,0.0,-0.09979922628207771,0.4602518611612962,36.5307692962963,127.25479833333333,36.52921862962963,127.26422992592592
4,04:00-05:00,grid_8123_22777,grid_8124_22776,1,1,0,0.04749973475625491,0.034753157171158344,0.09929473477473813,0.0,1.112426286675602,0.8670225461966413,36.48699426923077,127.26070873076924,36.490639807692304,127.25626630769231
4,04:00-05:00,grid_8128_22772,grid_8128_22772,1,1,0,0.6239671447524969,0.45652524929872185,0.06626261704396708,0.6666666666666666,-0.796028588184432,0.21300770956352377,36.51110026086957,127.23301165217391,36.51118847826087,127.23306726086957
4,04:00-05:00,grid_8130_22772,grid_8129_22771,1,1,0,0.03996042858704602,0.029237027584234763,0.08353436452638505,0.0,1.019508106573089,0.846019096716683,36.51894947826087,127.23448113043479,36.51398495652174,127.22900069565216
4,04:00-05:00,grid_8129_22777,grid_8130_22775,1,1,0,0.1801787535243209,0.13182769487590779,0.06712674726449841,0.16666666666666666,1.8420051654998255,0.9672628028498828,36.51484773684211,127.2589847368421,36.51821778947368,127.25115910526316
4,04:00-05:00,grid_8121_22776,grid_8121_22777,1,1,0,0.030676138655146293,0.022444181500322142,0.06412623285806326,0.0,-0.42253131463935584,0.3363186244027582,36.47857094736842,127.25460342105264,36.47913857894737,127.26125226315789
4,04:00-05:00,grid_8126_22774,grid_8126_22775,1,1,0,0.019972070516750415,0.014612555401915894,0.04175015829118827,0.0,-1.129680991326815,0.129305334872669,36.500531333333335,127.2442366,36.50196033333334,127.2485358
4,04:00-05:00,grid_8149_22783,grid_8152_22782,1,1,0,0.1595135412932461,0.1167080026854727,0.023927626720398183,0.16666666666666666,-0.43721685797660537,0.3309770425313129,36.6041486,127.2939425,36.6169982,127.2881433
4,04:00-05:00,grid_8130_22775,grid_8130_22775,1,1,0,0.005785206878745383,0.0042327437186000134,0.012093553481714325,0.0,0.04995574206198261,0.5199211715128134,36.518203875000005,127.25126424999999,36.518576875,127.250471
4,04:00-05:00,grid_8120_22775,grid_8120_22776,1,1,0,0.3019197176658566,0.2208994103852667,0.012093553481714325,0.3333333333333333,0.8043089081249151,0.789390702874101,36.475047875,127.249936375,36.4745255,127.254066125
4,04:00-05:00,grid_8149_22782,grid_8149_22783,2,2,0,0.1515275649987159,0.11086506712481872,0.007233525118529678,0.16666666666666666,-0.4794839804839003,0.31579718095403164,36.604033571428566,127.29005571428571,36.603659,127.29321314285714
4,04:00-05:00,grid_8128_22774,grid_8129_22771,1,1,0,0.1515275649987159,0.11086506712481872,0.007233525118529678,0.16666666666666666,-1.3349427992896037,0.09094753423782964,36.51084371428571,127.24303342857142,36.51447971428571,127.22897314285714
4,04:00-05:00,grid_8123_22784,grid_8124_22784,1,1,0,0.1501727660602149,0.1098738291592458,0.004401416645464197,0.16666666666666666,0.13888682943771674,0.5552302106595327,36.4871615,127.30119566666667,36.48981683333333,127.30126
