timestamp,zone_id,operator_name,device_count,effective_device_count,avg_battery,zone_center_latitude,zone_center_longitude
2026-06-12T06:11:12+0900,grid_8103_22786,ALPACA,1,1,64.0,36.39732303269853,127.31367230604849
2026-06-12T06:11:12+0900,grid_8103_22800,ALPACA,1,1,98.0,36.39732303269853,127.39189368327995
2026-06-12T06:11:12+0900,grid_8103_22802,ALPACA,2,2,71.5,36.39732303269853,127.40306816574159
2026-06-12T06:11:12+0900,grid_8104_22800,ALPACA,7,7,87.57142857142857,36.40181458857348,127.39189368327995
2026-06-12T06:11:12+0900,grid_8104_22801,ALPACA,2,2,90.5,36.40181458857348,127.39748092451076
2026-06-12T06:11:12+0900,grid_8104_22802,ALPACA,1,1,96.0,36.40181458857348,127.40306816574159
2026-06-12T06:11:12+0900,grid_8104_22803,ALPACA,3,3,95.0,36.40181458857348,127.4086554069724
2026-06-12T06:11:12+0900,grid_8105_22801,ALPACA,1,1,56.0,36.406306144448436,127.39748092451076
2026-06-12T06:11:12+0900,grid_8106_22803,ALPACA,3,3,68.66666666666667,36.41079770032339,127.4086554069724
2026-06-12T06:11:12+0900,grid_8107_22801,ALPACA,1,1,58.0,36.41528925619835,127.39748092451076
2026-06-12T06:11:12+0900,grid_8107_22802,ALPACA,1,1,44.0,36.41528925619835,127.40306816574159
2026-06-12T06:11:12+0900,grid_8107_22803,ALPACA,2,2,62.5,36.41528925619835,127.4086554069724
2026-06-12T06:11:12+0900,grid_8108_22798,ALPACA,2,2,73.5,36.419780812073306,127.3807192008183
2026-06-12T06:11:12+0900,grid_8108_22799,ALPACA,3,3,81.0,36.419780812073306,127.38630644204913
2026-06-12T06:11:12+0900,grid_8108_22800,ALPACA,8,8,90.125,36.419780812073306,127.39189368327995
2026-06-12T06:11:12+0900,grid_8108_22801,ALPACA,2,2,80.0,36.419780812073306,127.39748092451076
2026-06-12T06:11:12+0900,grid_8108_22802,ALPACA,1,1,71.0,36.419780812073306,127.40306816574159
2026-06-12T06:11:12+0900,grid_8108_22803,ALPACA,4,4,76.75,36.419780812073306,127.4086554069724
2026-06-12T06:11:12+0900,grid_8109_22799,ALPACA,4,4,91.0,36.424272367948255,127.38630644204913
2026-06-12T06:11:12+0900,grid_8109_22800,ALPACA,27,27,80.03703703703704,36.424272367948255,127.39189368327995
2026-06-12T06:11:12+0900,grid_8109_22801,ALPACA,3,3,71.66666666666667,36.424272367948255,127.39748092451076
2026-06-12T06:11:12+0900,grid_8109_22802,ALPACA,6,6,85.16666666666667,36.424272367948255,127.40306816574159
