ride_segment_id,timestamp,prev_timestamp,operator_name,device_id,prev_zone_id,zone_id,prev_latitude,prev_longitude,latitude,longitude,interval_minutes,distance_m,speed_kmph,prev_battery_level,battery_level,battery_delta,moved_50m,moved_200m,same_zone,operator_move_speed_rule,operator_move_repeat_rule,operator_move_cluster_rule,operator_move_battery_rule,operator_move_flag,excluded_from_demand,operator_move_reason
12003,2026-06-15T16:50:07+0900,2026-06-15T16:45:15+0900,GBIKE,131891,grid_8120_22780,grid_8125_22775,36.47454,127.276372,36.494014,127.249162,4.866666666666666,3256.80937388021,40.15244433550944,68.0,56.0,-12.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12013,2026-06-15T16:55:04+0900,2026-06-15T16:50:07+0900,GBIKE,130387,grid_8132_22778,grid_8127_22775,36.528266,127.267557,36.50624,127.249925,4.95,2912.2590075036737,35.30010918186271,70.0,61.0,-9.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12019,2026-06-15T16:55:04+0900,2026-06-15T16:50:07+0900,GBIKE,131026,grid_8130_22773,grid_8123_22778,36.517521,127.240835,36.487277,127.265871,4.95,4039.460150396664,48.96315333814138,61.0,50.0,-11.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12027,2026-06-15T16:55:04+0900,2026-06-15T16:50:07+0900,GBIKE,131384,grid_8121_22776,grid_8122_22782,36.480118,127.253015,36.481247,127.29005,4.95,3313.5708663404803,40.16449534958158,67.0,56.0,-11.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12048,2026-06-15T16:55:04+0900,2026-06-15T16:50:07+0900,GBIKE,501297,grid_8123_22776,grid_8126_22772,36.4864,127.253429,36.499477,127.232492,4.95,2370.0965969700696,28.72844359963721,73.0,65.0,-8.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12068,2026-06-15T17:00:18+0900,2026-06-15T16:55:04+0900,GBIKE,131822,grid_8130_22773,grid_8125_22776,36.517232,127.238966,36.494632,127.256341,5.233333333333333,2954.1199350826623,33.86889097547001,79.0,72.0,-7.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12129,2026-06-15T17:10:11+0900,2026-06-15T17:05:08+0900,GBIKE,131537,grid_8126_22775,grid_8122_22777,36.499173,127.247548,36.481006,127.262105,5.05,2402.9574982226745,28.549990077893163,100.0,98.0,-2.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12130,2026-06-15T17:10:11+0900,2026-06-15T17:05:08+0900,GBIKE,131665,grid_8122_22777,grid_8127_22778,36.484292,127.25927,36.50677,127.265838,5.05,2567.469592866683,30.50458922217841,50.0,41.0,-9.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12155,2026-06-15T17:15:16+0900,2026-06-15T17:10:11+0900,GBIKE,131620,grid_8128_22772,grid_8124_22777,36.511072,127.233365,36.491512,127.259662,5.083333333333333,3202.4081019874784,37.79891530214729,58.0,41.0,-17.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12181,2026-06-15T17:20:10+0900,2026-06-15T17:15:16+0900,GBIKE,501187,grid_8123_22784,grid_8126_22786,36.48504,127.297829,36.501303,127.313713,4.9,2299.20229591632,28.153497501016155,81.0,72.0,-9.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12267,2026-06-15T17:40:09+0900,2026-06-15T17:35:08+0900,GBIKE,131933,grid_8123_22776,grid_8126_22773,36.487127,127.257807,36.502425,127.239694,5.016666666666667,2348.447792882656,28.087747688962,89.0,80.0,-9.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12276,2026-06-15T17:45:12+0900,2026-06-15T17:40:09+0900,GBIKE,130495,grid_8125_22776,grid_8130_22774,36.494676,127.25604,36.517551,127.243456,5.05,2781.1572853356065,33.04345289507651,77.0,68.0,-9.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12292,2026-06-15T17:50:15+0900,2026-06-15T17:45:12+0900,GBIKE,130141,grid_8128_22777,grid_8120_22781,36.509347,127.259042,36.475497,127.282005,5.05,4287.314389427744,50.938388785280125,79.0,65.0,-14.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12310,2026-06-15T17:50:15+0900,2026-06-15T17:45:12+0900,GBIKE,501321,grid_8122_22777,grid_8126_22775,36.481816,127.260024,36.502354,127.250329,5.05,2442.6435867011387,29.021507960805607,78.0,74.0,-4.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12330,2026-06-15T17:55:12+0900,2026-06-15T17:50:15+0900,GBIKE,130919,grid_8123_22775,grid_8128_22774,36.488375,127.247441,36.511467,127.241235,4.95,2626.9504252066845,31.8418233358386,74.0,62.0,-12.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12354,2026-06-15T18:00:15+0900,2026-06-15T17:55:12+0900,GBIKE,130860,grid_8120_22780,grid_8124_22777,36.47396,127.276807,36.490568,127.259092,5.05,2432.871268231106,28.90540120670621,75.0,67.0,-8.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12478,2026-06-15T18:20:08+0900,2026-06-15T18:15:08+0900,GBIKE,130764,grid_8130_22772,grid_8132_22776,36.518408,127.232293,36.529775,127.254995,5.0,2390.130242826607,28.68156291391929,76.0,65.0,-11.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12499,2026-06-15T18:25:05+0900,2026-06-15T18:20:08+0900,GBIKE,130481,grid_8125_22778,grid_8120_22781,36.498157,127.264161,36.475873,127.284219,4.95,3058.6478458543334,37.07451934368888,53.0,44.0,-9.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12503,2026-06-15T18:25:05+0900,2026-06-15T18:20:08+0900,GBIKE,130688,grid_8124_22776,grid_8130_22774,36.489963,127.256357,36.51733,127.245726,4.95,3187.973368816679,38.64210144020217,100.0,90.0,-10.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12506,2026-06-15T18:25:05+0900,2026-06-15T18:20:08+0900,GBIKE,130948,grid_8129_22777,grid_8129_22771,36.514674,127.257966,36.515065,127.228798,4.95,2607.0377696725627,31.60045781421288,63.0,53.0,-10.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
