timestamp,zone_id,operator_name,interval_count,moved_50m_count,moved_200m_count,avg_distance_m,median_distance_m,avg_speed_kmph,avg_battery_delta
2026-06-12T06:24:31+0900,grid_8099_22787,ALPACA,3,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8099_22788,ALPACA,3,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8099_22790,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8099_22791,ALPACA,2,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8100_22784,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8100_22785,ALPACA,2,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8100_22787,ALPACA,20,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8100_22788,ALPACA,7,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8100_22789,ALPACA,6,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8100_22796,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8100_22797,ALPACA,6,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8101_22784,ALPACA,4,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8101_22785,ALPACA,6,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8101_22786,ALPACA,12,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8101_22787,ALPACA,8,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8101_22788,ALPACA,7,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8101_22790,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8101_22792,ALPACA,2,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8101_22793,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8101_22801,ALPACA,13,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8101_22802,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8101_22803,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8102_22785,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8102_22786,ALPACA,17,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8102_22789,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8102_22793,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8102_22795,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8102_22801,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8102_22802,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8103_22785,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8103_22786,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8103_22800,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8103_22802,ALPACA,2,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8104_22800,ALPACA,7,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8104_22801,ALPACA,2,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8104_22802,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8104_22803,ALPACA,3,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8105_22801,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8106_22803,ALPACA,3,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8107_22801,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8107_22802,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8107_22803,ALPACA,2,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8108_22798,ALPACA,2,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8108_22799,ALPACA,3,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8108_22800,ALPACA,8,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8108_22801,ALPACA,2,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8108_22802,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8108_22803,ALPACA,4,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8109_22799,ALPACA,4,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8109_22800,ALPACA,27,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8109_22801,ALPACA,3,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8109_22802,ALPACA,6,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8109_22803,ALPACA,2,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8110_22799,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8110_22800,ALPACA,12,0,0,0.0,0.0,0.0,0.0
