prev_zone_id,zone_id,trip_count,device_count,operator_count,avg_distance_m,median_distance_m,avg_speed_kmph,first_timestamp,last_timestamp,origin_latitude,origin_longitude,dest_latitude,dest_longitude
grid_8124_22782,grid_8123_22777,1,1,1,2718.515026782954,2718.515026782954,32.40613939211468,2026-06-12T19:50:10+0900,2026-06-12T19:50:10+0900,36.49176,127.289916,36.488376,127.259799
grid_8125_22776,grid_8123_22781,1,1,1,2716.0864099041155,2716.0864099041155,32.484754404168825,2026-06-12T23:25:08+0900,2026-06-12T23:25:08+0900,36.496836,127.256153,36.486156,127.283478
grid_8123_22777,grid_8128_22774,1,1,1,2712.905289595584,2712.905289595584,34.26827734226001,2026-06-13T17:05:06+0900,2026-06-13T17:05:06+0900,36.489172,127.260661,36.508102,127.241514
grid_8128_22773,grid_8123_22776,1,1,1,2712.697108535436,2712.697108535436,32.99226213083639,2026-06-13T14:40:07+0900,2026-06-13T14:40:07+0900,36.508769,127.239593,36.488663,127.256781
grid_8125_22776,grid_8130_22774,1,1,1,2710.938554438822,2710.938554438822,32.53126265326587,2026-06-13T18:25:06+0900,2026-06-13T18:25:06+0900,36.495148,127.255536,36.517517,127.243473
grid_8119_22780,grid_8122_22776,1,1,1,2708.004801853421,2708.004801853421,31.44779769894296,2026-06-13T13:45:13+0900,2026-06-13T13:45:13+0900,36.470056,127.277716,36.484669,127.253487
grid_8126_22777,grid_8128_22772,1,1,1,2706.844528319533,2706.844528319533,33.258158027134186,2026-06-12T19:25:06+0900,2026-06-12T19:25:06+0900,36.500742,127.258556,36.510536,127.23083
grid_8125_22775,grid_8130_22773,1,1,1,2697.985140117627,2697.985140117627,32.055268991496554,2026-06-13T01:30:09+0900,2026-06-13T01:30:09+0900,36.497085,127.249013,36.51876,127.235446
grid_8132_22778,grid_8128_22774,1,1,1,2687.922353923728,2687.922353923728,32.36294472951645,2026-06-13T20:50:09+0900,2026-06-13T20:50:09+0900,36.5279,127.264412,36.510759,127.243203
grid_8126_22774,grid_8123_22778,1,1,1,2676.118058324957,2676.118058324957,32.65771189820287,2026-06-12T23:55:03+0900,2026-06-12T23:55:03+0900,36.50188,127.241006,36.489131,127.266398
grid_8124_22775,grid_8129_22776,1,1,1,2661.0914169731795,2661.0914169731795,32.03989665920884,2026-06-12T22:10:05+0900,2026-06-12T22:10:05+0900,36.491793,127.249444,36.51482,127.257553
grid_8126_22773,grid_8122_22777,1,1,1,2657.885137250343,2657.885137250343,30.76651605820333,2026-06-12T21:30:14+0900,2026-06-12T21:30:14+0900,36.499488,127.236389,36.484011,127.259047
grid_8125_22785,grid_8121_22782,1,1,1,2654.552101944039,2654.552101944039,31.128298263838893,2026-06-14T00:10:14+0900,2026-06-14T00:10:14+0900,36.496507,127.307326,36.478221,127.288237
grid_8123_22781,grid_8125_22776,1,1,1,2654.0418771972973,2654.0418771972973,32.0622508654707,2026-06-12T23:40:05+0900,2026-06-12T23:40:05+0900,36.48617,127.283479,36.49642,127.256667
grid_8122_22777,grid_8126_22773,1,1,1,2651.568538742866,2651.568538742866,31.093311854965208,2026-06-12T19:20:13+0900,2026-06-12T19:20:13+0900,36.483611,127.25852,36.499488,127.236389
grid_8129_22777,grid_8124_22777,1,1,1,2648.664252092741,2648.664252092741,31.46927824268603,2026-06-13T00:45:11+0900,2026-06-13T00:45:11+0900,36.515011,127.258268,36.491191,127.258295
grid_8127_22773,grid_8123_22776,1,1,1,2646.250023015009,2646.250023015009,31.86120429048172,2026-06-13T09:25:05+0900,2026-06-13T09:25:05+0900,36.506974,127.239393,36.487887,127.257075
grid_8127_22775,grid_8122_22777,1,1,1,2642.2119974771435,2642.2119974771435,31.601206614344576,2026-06-12T18:30:09+0900,2026-06-12T18:30:09+0900,36.504702,127.250576,36.482343,127.260582
grid_8130_22773,grid_8133_22778,1,1,1,2640.8362353249213,2640.8362353249213,31.480167043608336,2026-06-12T17:00:08+0900,2026-06-12T17:00:08+0900,36.52034,127.23985,36.532462,127.265265
grid_8132_22777,grid_8131_22772,1,1,1,2634.074429124867,2634.074429124867,32.8119998091679,2026-06-12T16:05:09+0900,2026-06-12T16:05:09+0900,36.528406,127.262734,36.522206,127.234283
grid_8129_22777,grid_8129_22771,1,1,1,2630.634105545049,2630.634105545049,31.358552251530384,2026-06-12T21:10:08+0900,2026-06-12T21:10:08+0900,36.514674,127.258861,36.514092,127.229434
grid_8130_22773,grid_8125_22775,1,1,1,2621.161093116702,2621.161093116702,30.5377991431072,2026-06-13T02:00:18+0900,2026-06-13T02:00:18+0900,36.518838,127.235431,36.49785,127.248783
grid_8125_22786,grid_8121_22782,1,1,1,2620.191047574078,2620.191047574078,30.625609646969732,2026-06-12T21:45:12+0900,2026-06-12T21:45:12+0900,36.4973,127.308664,36.479026,127.29016
