timestamp,operator_name,device_count,effective_device_count,avg_battery,p10_battery,median_battery,low_battery_count,zone_count
2026-06-12T19:00:12+0900,GBIKE,2797,2797,67.23417947801215,34.0,68.0,0,195
2026-06-12T19:05:06+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T19:05:06+0900,GBIKE,2797,2797,67.21165534501252,34.0,68.0,0,197
2026-06-12T19:10:04+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T19:10:04+0900,GBIKE,2797,2797,67.17196996782266,34.0,68.0,0,196
2026-06-12T19:15:06+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T19:15:06+0900,GBIKE,2797,2797,67.15552377547372,34.0,68.0,0,196
2026-06-12T19:20:13+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T19:20:13+0900,GBIKE,2797,2797,67.1136932427601,34.0,68.0,0,196
2026-06-12T19:25:06+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T19:25:06+0900,GBIKE,2797,2797,67.09116910976046,34.0,68.0,0,196
2026-06-12T19:30:10+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T19:30:10+0900,GBIKE,2797,2797,67.04719342152306,34.0,68.0,0,197
2026-06-12T19:35:03+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T19:35:03+0900,GBIKE,2797,2797,67.02895959957097,34.0,68.0,0,197
2026-06-12T19:40:08+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T19:40:08+0900,GBIKE,2797,2797,66.97282803003218,34.0,68.0,0,197
2026-06-12T19:45:08+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T19:45:08+0900,GBIKE,2797,2797,66.92098677154094,34.0,68.0,0,197
2026-06-12T19:50:10+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T19:50:10+0900,GBIKE,2797,2797,66.88773686092242,34.0,68.0,0,196
2026-06-12T19:55:09+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T19:55:09+0900,GBIKE,2797,2797,66.85841973543081,34.0,68.0,0,194
2026-06-12T20:00:13+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T20:00:13+0900,GBIKE,2797,2797,66.82659992849482,34.0,68.0,0,194
2026-06-12T20:05:04+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T20:05:04+0900,GBIKE,2797,2797,66.77904898105113,34.0,68.0,0,194
2026-06-12T20:10:04+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T20:10:04+0900,GBIKE,2797,2797,66.74043618162317,34.0,68.0,0,194
2026-06-12T20:15:13+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T20:15:13+0900,GBIKE,2797,2797,66.69860564890955,34.0,68.0,0,194
2026-06-12T20:20:08+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T20:20:08+0900,GBIKE,2797,2797,66.67786914551304,34.0,68.0,0,194
2026-06-12T20:25:04+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T20:25:04+0900,GBIKE,2797,2797,66.64354665713265,34.0,68.0,0,194
2026-06-12T20:30:11+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T20:30:11+0900,GBIKE,2797,2797,66.61744726492671,34.0,68.0,0,194
2026-06-12T20:35:10+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T20:35:10+0900,GBIKE,2797,2797,66.59456560600644,34.0,68.0,0,194
